                                                                           
      54      54      90      54      54      90       4       2
     4        6.08491812      0.00000000      1.63043478      0.00000000      0.00000000      0.00000000
      656.5197278106       10.0000000000       70.0000000000     0
   1   Ga   13.00
   2   N     5.00
   1       0.000000000    0.577350269    0.000000000    1
   2       0.499999999    0.288675134    0.815217391    1
   3       0.000000000    0.577350269    0.613666304    2
   4       0.499999999    0.288675134    1.428883696    2
  5.140544993E-02  4.630051270E-02  4.140796150E-02  3.679701180E-02  3.252051639E-02
  2.862211119E-02  2.512230928E-02  2.202719582E-02  1.933587986E-02  1.702814144E-02
  1.506918106E-02  1.342715547E-02  1.206508483E-02  1.094708229E-02  1.005360620E-02
  9.365055525E-03  8.856840980E-03  8.533852156E-03  8.612868041E-03  8.532934774E-03
  8.612868180E-03  8.856840982E-03  9.277772951E-03  9.874583347E-03  1.066640006E-02
  1.167489927E-02  1.291406112E-02  1.441653421E-02  1.621512565E-02  1.834197117E-02
  2.083437833E-02  2.371984382E-02  2.701190673E-02  3.071533928E-02  3.480930934E-02
  3.925686015E-02  4.400585919E-02  4.899933508E-02  5.414247677E-02  5.931259213E-02
  6.435772245E-02  6.911126816E-02  7.338105531E-02  7.696477079E-02  7.968273310E-02
  8.137795718E-02  8.195518794E-02  8.137795852E-02  7.968273561E-02  7.696477422E-02
  7.338105937E-02  6.911127263E-02  6.435772720E-02  5.931259713E-02  5.414248200E-02
  4.899934048E-02  4.400586461E-02  3.925686537E-02  3.480931409E-02  3.071534336E-02
  2.701191005E-02  2.371984644E-02  2.083438043E-02  1.834197297E-02  1.621512730E-02
  1.441653576E-02  1.291406253E-02  1.167490040E-02  1.066640080E-02  9.874583676E-03
  9.277772951E-03  8.856840822E-03  9.026422627E-03  8.864491736E-03  8.864491896E-03
  9.026423037E-03  9.365055530E-03  9.874583678E-03  1.057637764E-02  1.148511836E-02
  1.261746150E-02  1.400716728E-02  1.567359106E-02  1.765351394E-02  1.998292537E-02
  2.269156366E-02  2.580298000E-02  2.933611727E-02  3.328508106E-02  3.763124993E-02
  4.233923789E-02  4.734812450E-02  5.256646509E-02  5.787395227E-02  6.313842916E-02
  6.818809415E-02  7.283470784E-02  7.687587716E-02  8.011668699E-02  8.238449247E-02
  8.355371894E-02  8.355371954E-02  8.238449418E-02  8.011668962E-02  7.687588046E-02
  7.283471159E-02  6.818809823E-02  6.313843353E-02  5.787395696E-02  5.256647008E-02
  4.734812971E-02  4.233924312E-02  3.763125492E-02  3.328508553E-02  2.933612103E-02
  2.580298299E-02  2.269156597E-02  1.998292718E-02  1.765351543E-02  1.567359233E-02
  1.400716834E-02  1.261746228E-02  1.148511877E-02  1.057637764E-02  9.874583349E-03
  9.365055050E-03  9.626697711E-03  9.371657792E-03  9.290704183E-03  9.371658272E-03
  9.626698523E-03  1.005360620E-02  1.066640081E-02  1.148511877E-02  1.251961629E-02
  1.380856654E-02  1.536819464E-02  1.723089724E-02  1.943209659E-02  2.199352279E-02
  2.495191591E-02  2.833192242E-02  3.214720973E-02  3.640285556E-02  4.108845855E-02
  4.615292093E-02  5.151751249E-02  5.707139459E-02  6.267651573E-02  6.815974843E-02
  7.331340038E-02  7.792810290E-02  8.179408171E-02  8.472023290E-02  8.654574713E-02
  8.716530637E-02  8.654574813E-02  8.472023477E-02  8.179408424E-02  7.792810589E-02
  7.331340369E-02  6.815975205E-02  6.267651970E-02  5.707139896E-02  5.151751724E-02
  4.615292592E-02  4.108846352E-02  3.640286022E-02  3.214721379E-02  2.833192572E-02
  2.495191843E-02  2.199352465E-02  1.943209795E-02  1.723089824E-02  1.536819533E-02
  1.380856692E-02  1.251961629E-02  1.148511837E-02  1.066640007E-02  1.005360530E-02
  1.041780254E-02  1.007079059E-02  9.897226290E-03  9.897226619E-03  1.007079149E-02
