 &plot nbnd=  35, nks=    71 /
            0.000000  0.000000  0.306667
   16.836   16.836   19.043   19.043   21.227   21.227   24.169   24.169   29.671   29.671
   29.753   29.753   32.895   32.895   33.967
            0.500000  0.288675  0.306667
   -5.561   -5.561   -4.143   -4.143   -4.034   -4.034   -3.932   -3.932   -3.874   -3.874
   -2.496   -2.496    2.815    2.815    7.383    7.383    7.411    7.411   13.558   13.558
   16.825   16.825   19.043   19.043   21.243   21.243   24.229   24.229   29.691   29.691
   30.067   30.067   32.775   32.775   33.654
            0.500000  0.288675  0.276000
   -5.573   -5.550   -4.149   -4.133   -4.047   -4.020   -3.944   -3.923   -3.875   -3.872
   -2.538   -2.452    2.738    2.917    7.186    7.256    7.514    7.586   13.399   13.749
   16.711   16.937   19.027   19.096   20.975   21.510   23.845   24.643   29.580   29.681
   29.725   30.443   32.597   32.942   33.513
            0.500000  0.288675  0.245333
   -5.588   -5.543   -4.154   -4.122   -4.061   -4.007   -3.957   -3.916   -3.876   -3.869
   -2.577   -2.407    2.688    3.042    6.924    7.135    7.644    7.696   13.297   13.939
   16.639   16.997   19.085   19.160   20.713   21.768   23.502   25.074   29.324   29.419
   29.588   30.853   32.441   33.073   33.393
            0.500000  0.288675  0.214667
   -5.604   -5.537   -4.155   -4.107   -4.074   -3.996   -3.970   -3.911   -3.878   -3.867
   -2.612   -2.363    2.666    3.186    6.639    7.022    7.737    7.772   13.269   14.099
   16.636   16.966   19.223   19.248   20.461   22.014   23.204   25.500   28.929   29.149
   29.458   31.292   32.330   33.164   33.296
            0.500000  0.288675  0.184000
   -5.620   -5.534   -4.155   -4.091   -4.085   -3.985   -3.984   -3.910   -3.878   -3.863
   -2.642   -2.321    2.672    3.343    6.346    6.920    7.709    7.893   13.323   14.209
   16.715   16.832   19.277   19.521   20.228   22.240   22.953   25.888   28.425   28.917
   29.344   31.755   32.264   33.216   33.226
            0.500000  0.288675  0.153333
   -5.636   -5.532   -4.153   -4.096   -4.073   -3.997   -3.976   -3.912   -3.879   -3.860
   -2.667   -2.282    2.703    3.508    6.057    6.831    7.624    8.003   13.455   14.264
   16.614   16.866   19.321   19.878   20.018   22.441   22.746   26.195   27.856   28.721
   29.305   32.225   32.233   33.188   33.228
            0.500000  0.288675  0.122667
